ds,yhat,yhat_lower,yhat_upper
2022-07-16,26629.68052265603,3327.180018920594,49365.04991778752
2022-07-17,25938.47651000793,867.3630441558918,48937.057726962856
2022-07-18,27118.809595271538,5381.978420733474,50816.15443187652
2022-07-19,25763.655565713194,2595.2296699316494,48766.33315126459
2022-07-20,26499.573077699857,3466.4556546116974,50036.00552517868
2022-07-21,26043.89239572501,3350.6680406209516,50109.39404537404
2022-07-22,29228.26233154521,6675.627996278113,53719.15470103277
2022-07-23,26730.99563943862,4607.122975501172,47261.99188957807
2022-07-24,25885.57085394542,2416.2133439845607,49931.06194020058
2022-07-25,26893.812293419167,4684.980114624449,48346.91104799571
2022-07-26,25355.453296402673,914.3797926858881,47066.87212840343
2022-07-27,25904.361139407607,2961.454783469842,49530.097789214786
2022-07-28,25265.481014904275,1530.8365712267805,49008.55886638716
2022-07-29,28278.126366573513,5179.39870884432,52485.188587206256
2022-07-30,25628.063918002557,3613.1662325079174,48588.730293047105
2022-07-31,24655.75959759159,1782.1516065389776,47375.71750986287
2022-08-01,25569.315346964217,2692.1427909459317,49160.29523201266
2022-08-02,23973.80944867333,855.8289399926626,47167.997614075066
2022-08-03,24507.326275189014,1749.1429985721293,46614.968415155476
2022-08-04,23897.73913105049,688.6311344061163,46558.881469998414
2022-08-05,26985.87890904626,3241.3811779240427,49326.63883630044
2022-08-06,24457.54111655309,3027.3448091085966,47123.18942821059
2022-08-07,23651.70040068468,1670.8033021137915,45850.91908426313
2022-08-08,24773.463931202747,3507.0463540904984,48174.55418742414
2022-08-09,23423.476531059896,-27.426207402040518,47603.739555266555
2022-08-10,24234.061761994933,-130.2782794181177,47051.304485903
2022-08-11,23926.15984892967,384.2311113602091,45962.84625883599
2022-08-12,27332.69086678954,5266.05510375616,51840.90581872878
2022-08-13,25130.790223995216,3705.582169181365,46565.42211442255
2022-08-14,24650.278958376548,1534.1386957905313,45952.91358225462
2022-08-15,26086.892692315843,2974.4372772556676,48109.769299912004
2022-08-16,25031.973945514794,1415.5007892617773,47709.93525898394
2022-08-17,26108.903383153818,5265.955500187896,50607.697353509066
2022-08-18,26030.32207152375,4075.868079875229,48854.086463101215
2022-08-19,29621.764435209538,5465.9750530873225,52880.79502770346
2022-08-20,27554.140563670873,4713.76238735907,49597.22099891035
2022-08-21,27152.42259564394,4819.442128674801,50657.715866270366
2022-08-22,28609.052076076343,3538.6459721035594,50026.88583487177
2022-08-23,27513.76708337532,3663.4201393758053,51333.250227921424
2022-08-24,28490.120038920075,4821.896644194134,51246.634585672924
2022-08-25,28252.734990993456,5520.891249794016,52721.601907530036
2022-08-26,31630.92228062401,8863.695251103698,54567.65104159907
2022-08-27,29301.089011704415,6898.726000218593,51272.34043614281
2022-08-28,28595.301408197527,5875.777219386965,50731.60156192697
2022-08-29,29714.5188618034,7658.913575530367,53167.33405750849
2022-08-30,28258.20285793461,4947.89416798526,52169.49156666877
2022-08-31,28860.577447869644,4767.896321021711,52775.551022230116
2022-09-01,28247.597022099617,5188.563514409692,51840.172646792395
2022-09-02,31260.24727015613,9470.855828330628,54392.09911310575
2022-09-03,28586.626515658474,5257.929423876919,51135.80915176366
2022-09-04,27570.17185070342,5490.678764711823,50867.52707357154
2022-09-05,28422.564277376277,7439.5415236611425,51450.70532815154
2022-09-06,26753.015970212913,3956.1418360428956,48687.444485925436
2022-09-07,27204.23527217678,3229.8068814114963,49163.256516136535
2022-09-08,26509.12909631854,3520.1979383153607,49384.687168072145
2022-09-09,29513.877515645796,7431.779054860973,51893.53171554101
2022-09-10,26909.834617855617,3911.1273974098794,47462.24056286032
2022-09-11,26041.62665168531,2703.7050171174637,46560.54089662158
2022-09-12,27119.98106394203,3174.58233559453,49175.73580774004
2022-09-13,25751.001855953873,2712.9893925482293,48737.18029504605
2022-09-14,26572.178248734668,2937.9550235827296,50029.46474811499
2022-09-15,26309.190503740134,2161.00322767203,50139.247990550575
2022-09-16,29799.14439758726,7557.242605752082,53265.02096763732
2022-09-17,27722.684496852522,3780.3295963639907,49730.61513040465
2022-09-18,27412.351820993586,5665.706496744804,51595.15344101337
2022-09-19,29065.712692966008,4198.994194753626,51689.1152079518
2022-09-20,28274.966233365154,5377.3911935610295,49546.47416056517
2022-09-21,29663.30856229074,6212.104894166755,51551.31961586965
2022-09-22,29942.107927711622,6064.213858897141,53422.70562912963
2022-09-23,33934.5121991567,11855.429983071348,57134.910517886434
2022-09-24,32307.928664171348,9039.846911364393,53549.055177621965
2022-09-25,32382.731647758625,9961.54059266812,55165.88429359529
2022-09-26,34345.71511185504,11501.233454424006,57245.983846282834
2022-09-27,33779.98874836396,12395.475412399615,56787.209772671136
2022-09-28,35301.58764106423,13482.798252333163,59586.96305245126
2022-09-29,35616.84290879309,12648.896407417527,58459.44935441186
2022-09-30,39546.1293377727,16248.354670969877,63492.45061111934
2022-10-01,37756.42604119088,13929.311018620676,60653.35792009088
2022-10-02,37570.04340914954,15071.28373118823,61855.86157009538
2022-10-03,39178.032957036485,16673.364582000173,62865.89069506545
2022-10-04,38169.97975936165,14980.270362228039,61343.143612500666
2022-10-05,39170.450409094716,17234.355025579705,62924.069534164046
2022-10-06,38896.14838734784,15915.92978840211,61023.5952865533
2022-10-07,42179.39880529634,19453.54465567801,65723.80040219397
2022-10-08,39700.4058215383,16185.200010857016,63458.21364160912
2022-10-09,38795.5958890618,15792.013951637424,61325.84557180995
2022-10-10,39670.8150652186,15522.390283544793,61625.85102124198
2022-10-11,37930.60512725607,14541.384362235742,62577.73770146092
2022-10-12,38214.326374035576,14899.074586421128,59440.08321990157
2022-10-13,37252.946800929945,14681.116271442685,61569.1040955173
2022-10-14,39892.178024693465,16271.156601021084,62705.86379189051
2022-10-15,36824.410661426504,13783.567365287883,58971.249551598725
2022-10-16,35396.8193870034,12971.415559634304,57025.63709793097
2022-10-17,35824.171076096696,14081.333002278387,59426.073670440186
2022-10-18,33718.05184166727,9862.765138126735,55699.54141145181
2022-10-19,33722.80094310421,8701.634265316148,54862.399447675554
2022-10-20,32572.216947643166,9618.65474656283,55802.768757464204
2022-10-21,35112.669701892235,12317.47167397745,56641.925978657666
2022-10-22,32035.070786732562,10504.321755824392,54246.763755588414
2022-10-23,30683.07097715056,7332.028098331843,54478.71155463318
2022-10-24,31266.014775424715,8185.660574202929,54226.96210332896
2022-10-25,29388.36299769852,7164.792468001172,51999.064087804756
2022-10-26,29685.865174521943,6232.336416217274,53353.57396740301
2022-10-27,28882.539764625308,5150.740946222238,52543.219632217544
2022-10-28,31814.087397758754,9916.2867828744,53088.855019883384
2022-10-29,29160.180770926738,5616.237619432598,52870.189630968904
2022-10-30,28252.990232067175,5600.193256567428,50737.432758802126
2022-10-31,29290.465472286814,5942.39428232924,52783.38074740193
2022-11-01,27866.07478458389,5595.424769108264,50588.80172245698
2022-11-02,28605.27453035203,4795.274561499202,51486.89034192842
2022-11-03,28222.758363168425,6283.155288240235,50028.92816718669
2022-11-04,31546.10388985495,9860.398869958535,53095.555497717934
2022-11-05,29248.25398910795,7258.55103214108,53764.168068500825
2022-11-06,28656.186731508737,3882.759057563585,51534.62174116299
2022-11-07,29964.290689969894,5218.282021646706,52180.1711521954
2022-11-08,28764.14502330945,6203.719958459475,51596.795439107394
2022-11-09,29680.976509305827,6534.094963727677,51786.76197936479
2022-11-10,29430.844227362475,6946.978672404856,53099.551656979
2022-11-11,32844.1722930688,10002.148984750915,56077.59061976071
2022-11-12,30598.072069983602,8515.949272342878,53779.262633571256
2022-11-13,30024.499367417844,6429.71861986001,51672.31335277628
2022-11-14,31324.340083172643,8749.594780357984,53189.159366096326
2022-11-15,30095.991485222665,6896.7198751528595,52883.3032723257
2022-11-16,30971.85961616462,8233.229960317503,54557.431670583785
2022-11-17,30675.262474258667,7021.173988593398,53667.16234511401
2022-11-18,34043.68245683894,11926.19352656221,57236.72693066741
2022-11-19,31760.818508164266,8829.23743959959,55800.123885532084
2022-11-20,31164.80613331177,9952.357377780001,55261.54467518271
2022-11-21,32461.13684363347,8502.469816136647,55878.887570690225
2022-11-22,31251.991297925968,8012.363453268926,54628.550057648026
2022-11-23,32172.272846984037,7876.70954041586,55296.3738443871
2022-11-24,31946.40591803228,9869.265122273078,55272.98530145118
2022-11-25,35411.53216357063,12047.483168830468,59222.745659761196
2022-11-26,33249.55672467581,10699.750793304303,55635.0613481615
2022-11-27,32795.41309962442,10308.75428798073,54872.66227615538
2022-11-28,34250.076922222834,10569.411087545139,57643.75966146687
2022-11-29,33210.040098386926,10792.951496248728,56342.93736641611
2022-11-30,34303.52772210345,11723.419775628585,57094.00423347355
2022-12-01,34247.51657690579,12249.759070317356,57279.857717912404
2022-12-02,37871.181342060794,13620.09852107427,60350.04559926382
2022-12-03,35848.213077236396,12197.822077522147,58903.5780519765
2022-12-04,35505.36996319466,12701.583545365687,59148.77554749337
2022-12-05,37035.78160946442,14757.59806508244,59373.16458154869
2022-12-06,36028.70917593689,13743.405322613966,57296.58190923307
2022-12-07,37106.0345986412,14480.536298308005,60675.90514687318
2022-12-08,36979.52894379551,13883.739874280596,60758.175648838376
2022-12-09,40474.51784436386,18383.383278674857,64479.19203057174
2022-12-10,38262.38129596942,15611.525072621103,61217.44939540218
